date_afdm,deployment_afdm,site,group,afdm_g_cm2
7/6/24,1,1,1,2.71
7/6/24,1,1,1,1.81
7/6/24,1,2,2,0.62
7/6/24,1,2,2,1.71
7/6/24,1,2,2,0.99
7/6/24,1,2,2,1.47
7/6/24,1,3,3,0.15
7/6/24,1,3,3,1.96
7/6/24,1,4,4,1.86
7/6/24,1,4,4,1.28
8/1/24,2,1,5,1.41
8/1/24,2,1,5,1.23
8/1/24,2,1,5,0.62
8/1/24,2,2,6,1.54
8/1/24,2,2,6,3.69
8/1/24,2,2,6,3.98
8/1/24,2,2,6,1.44
8/1/24,2,3,7,1.47
8/1/24,2,3,7,1.96
8/1/24,2,4,8,1.81
8/1/24,2,4,8,0.64
8/1/24,2,4,8,0.54
8/30/24,3,1,9,3.09
8/30/24,3,1,9,1.81
8/30/24,3,3,11,1.9
8/30/24,3,3,11,3.91
8/30/24,3,3,11,2.31
8/30/24,3,3,11,2
8/30/24,3,4,12,1.82
8/30/24,3,4,12,1.11
8/30/24,3,4,12,1.19
