Date,Deployment,Site,group,Quadrant,Depth_cm,Perc_Cover
7/6/24,1,1,1,1,38,0.05
7/6/24,1,1,1,2,41,0.1
7/6/24,1,1,1,3,40,0.05
7/6/24,1,1,1,4,37,0.05
7/6/24,1,1,1,5,35,0.15
7/6/24,1,1,1,6,32,0.2
7/6/24,1,1,1,7,30,0.2
7/6/24,1,1,1,8,31,0.3
7/6/24,1,1,1,9,34,0.7
7/6/24,1,1,1,10,41,0.8
7/6/24,1,1,1,11,40,0.8
7/6/24,1,1,1,12,45,0.9
7/6/24,1,1,1,13,50,0.9
7/6/24,1,1,1,1,18,0.1
7/6/24,1,1,1,2,24,0.1
7/6/24,1,1,1,3,25,0.05
7/6/24,1,1,1,4,30,0.15
7/6/24,1,1,1,5,31,0.2
7/6/24,1,1,1,6,38,0.15
7/6/24,1,1,1,7,38,0.2
7/6/24,1,1,1,8,48,0.85
7/6/24,1,1,1,9,56,0.9
7/6/24,1,1,1,10,62,0.7
7/6/24,1,1,1,11,63,0.8
7/6/24,1,1,1,1,19,0.05
7/6/24,1,1,1,2,35,0.1
7/6/24,1,1,1,3,39,0.05
7/6/24,1,1,1,4,44,0.15
7/6/24,1,1,1,5,47,0.1
7/6/24,1,1,1,6,56,0.2
7/6/24,1,1,1,7,36,0.25
7/6/24,1,1,1,8,65,0.8
7/6/24,1,1,1,9,68,0.7
7/6/24,1,1,1,10,67,0.6
7/6/24,1,1,1,1,32,0.05
7/6/24,1,1,1,2,40,0.05
7/6/24,1,1,1,3,39,0.1
7/6/24,1,1,1,4,48,0.1
7/6/24,1,1,1,5,48,0.15
7/6/24,1,1,1,6,53,0.15
7/6/24,1,1,1,7,65,0.4
7/6/24,1,1,1,8,69,0.8
7/6/24,1,1,1,9,77,0.85
7/6/24,1,1,1,10,80,0.9
7/6/24,1,1,1,11,80,0.2
7/6/24,1,1,1,12,77,0.95
7/6/24,1,1,1,1,33,0.05
7/6/24,1,1,1,2,40,0.05
7/6/24,1,1,1,3,43,0.1
7/6/24,1,1,1,4,46,0.2
7/6/24,1,1,1,5,55,0.15
7/6/24,1,1,1,6,59,0.15
7/6/24,1,1,1,7,74,0.5
7/6/24,1,1,1,8,78,0.9
7/6/24,1,1,1,9,91,0.9
7/6/24,1,1,1,10,92,0.1
7/6/24,1,1,1,11,74,0.1
7/6/24,1,1,1,1,37,0.15
7/6/24,1,1,1,2,54,0.1
7/6/24,1,1,1,3,56,0
7/6/24,1,1,1,4,57,0.1
7/6/24,1,1,1,5,63,0.2
7/6/24,1,1,1,6,80,0.3
7/6/24,1,1,1,7,90,0.7
7/6/24,1,1,1,8,95,0.95
7/6/24,1,1,1,9,110,0.6
7/6/24,1,1,1,10,95,0
7/6/24,1,2,2,1,14,0.8
7/6/24,1,2,2,2,12,0.2
7/6/24,1,2,2,3,22,0.6
7/6/24,1,2,2,4,33,0.7
7/6/24,1,2,2,5,54,0.8
7/6/24,1,2,2,6,50,0.6
7/6/24,1,2,2,7,74,0.9
7/6/24,1,2,2,8,84,1
7/6/24,1,2,2,9,91,0.1
7/6/24,1,2,2,10,77,0
7/6/24,1,2,2,11,68,0
7/6/24,1,2,2,12,66,0
7/6/24,1,2,2,13,63,0
7/6/24,1,2,2,14,54,0
7/6/24,1,2,2,15,30,0
7/6/24,1,2,2,16,34,0.5
7/6/24,1,2,2,1,59,0.8
7/6/24,1,2,2,2,75,0.9
7/6/24,1,2,2,3,82,0.8
7/6/24,1,2,2,4,87,1
7/6/24,1,2,2,5,100,0.5
7/6/24,1,2,2,6,90,0.2
7/6/24,1,2,2,7,90,0
7/6/24,1,2,2,8,57,0.05
7/6/24,1,2,2,9,58,0
7/6/24,1,2,2,10,54,0.05
7/6/24,1,2,2,11,35,0
7/6/24,1,2,2,12,26,0.1
7/6/24,1,2,2,13,16,0.1
7/6/24,1,2,2,1,44,0.4
7/6/24,1,2,2,2,60,0.2
7/6/24,1,2,2,3,70,0.6
7/6/24,1,2,2,4,72,0.8
7/6/24,1,2,2,5,66,0.8
7/6/24,1,2,2,6,65,0.7
7/6/24,1,2,2,7,76,0.6
7/6/24,1,2,2,8,80,0.8
7/6/24,1,2,2,9,80,0
7/6/24,1,2,2,10,54,0
7/6/24,1,2,2,11,39,0
7/6/24,1,2,2,12,26,0.05
7/6/24,1,2,2,13,24,0
7/6/24,1,2,2,14,15,0
7/6/24,1,2,2,1,50,0.4
7/6/24,1,2,2,2,58,0.4
7/6/24,1,2,2,3,63,0.2
7/6/24,1,2,2,4,65,0.2
7/6/24,1,2,2,5,68,0.9
7/6/24,1,2,2,6,69,0.9
7/6/24,1,2,2,7,72,1
7/6/24,1,2,2,8,74,1
7/6/24,1,2,2,9,78,0.9
7/6/24,1,2,2,10,64,0.05
7/6/24,1,2,2,11,44,0
7/6/24,1,2,2,12,38,0
7/6/24,1,2,2,13,30,0
7/6/24,1,2,2,1,44,0.2
7/6/24,1,2,2,2,53,0.2
7/6/24,1,2,2,3,47,0.4
7/6/24,1,2,2,4,51,0.5
7/6/24,1,2,2,5,61,0.8
7/6/24,1,2,2,6,67,0.8
7/6/24,1,2,2,7,70,0.9
7/6/24,1,2,2,8,74,0.8
7/6/24,1,2,2,9,82,0.9
7/6/24,1,2,2,10,87,0.6
7/6/24,1,2,2,11,67,0.05
7/6/24,1,2,2,12,50,0.05
7/6/24,1,2,2,13,32,0
7/6/24,1,2,2,14,12,0
7/6/24,1,2,2,1,32,0.1
7/6/24,1,2,2,2,40,0.1
7/6/24,1,2,2,3,39,0.1
7/6/24,1,2,2,4,46,0.15
7/6/24,1,2,2,5,60,0.2
7/6/24,1,2,2,6,72,0.3
7/6/24,1,2,2,7,76,0.9
7/6/24,1,2,2,8,76,0.9
7/6/24,1,2,2,9,85,0.9
7/6/24,1,2,2,10,95,0.9
7/6/24,1,2,2,11,94,0.9
7/6/24,1,2,2,12,92,0.8
7/6/24,1,2,2,13,64,0.2
7/6/24,1,2,2,14,60,0.1
7/6/24,1,3,3,1,15,0.1
7/6/24,1,3,3,2,26,0.1
7/6/24,1,3,3,3,29,0.05
7/6/24,1,3,3,4,44,0.05
7/6/24,1,3,3,5,46,0.05
7/6/24,1,3,3,6,46,0.05
7/6/24,1,3,3,7,55,0
7/6/24,1,3,3,8,55,0.15
7/6/24,1,3,3,9,56,0
7/6/24,1,3,3,10,50,0.05
7/6/24,1,3,3,11,45,0.1
7/6/24,1,3,3,12,27,0.2
7/6/24,1,3,3,1,21,0.15
7/6/24,1,3,3,2,20,0.1
7/6/24,1,3,3,3,32,0.1
7/6/24,1,3,3,4,40,0.15
7/6/24,1,3,3,5,36,0.05
7/6/24,1,3,3,6,47,0.05
7/6/24,1,3,3,7,47,0.3
7/6/24,1,3,3,8,47,0.05
7/6/24,1,3,3,9,50,0
7/6/24,1,3,3,10,48,0
7/6/24,1,3,3,11,40,0.05
7/6/24,1,3,3,12,26,0.15
7/6/24,1,3,3,1,16,0.15
7/6/24,1,3,3,2,24,0.05
7/6/24,1,3,3,3,37,0.15
7/6/24,1,3,3,4,36,0.15
7/6/24,1,3,3,5,40,0.05
7/6/24,1,3,3,6,40,0
7/6/24,1,3,3,7,47,0
7/6/24,1,3,3,8,42,0.05
7/6/24,1,3,3,9,43,0
7/6/24,1,3,3,10,42,0.05
7/6/24,1,3,3,11,32,0.05
7/6/24,1,3,3,12,16,0.05
7/6/24,1,3,3,1,20,0.1
7/6/24,1,3,3,2,29,0.05
7/6/24,1,3,3,3,27,0.15
7/6/24,1,3,3,4,30,0.05
7/6/24,1,3,3,5,35,0.05
7/6/24,1,3,3,6,44,0.05
7/6/24,1,3,3,7,34,0
7/6/24,1,3,3,8,45,0
7/6/24,1,3,3,9,45,0
7/6/24,1,3,3,10,440,0
7/6/24,1,3,3,11,34,0.1
7/6/24,1,3,3,1,18,0.05
7/6/24,1,3,3,2,23,0.05
7/6/24,1,3,3,3,28,0.05
7/6/24,1,3,3,4,36,0.05
7/6/24,1,3,3,5,39,0
7/6/24,1,3,3,6,39,0.05
7/6/24,1,3,3,7,38,0.05
7/6/24,1,3,3,8,38,0
7/6/24,1,3,3,9,48,0
7/6/24,1,3,3,10,47,0.05
7/6/24,1,3,3,11,25,0.05
7/6/24,1,3,3,12,20,0.05
7/6/24,1,3,3,1,13,0.15
7/6/24,1,3,3,2,20,0.05
7/6/24,1,3,3,3,29,0.05
7/6/24,1,3,3,4,39,0.05
7/6/24,1,3,3,5,48,0.05
7/6/24,1,3,3,6,40,0.05
7/6/24,1,3,3,7,45,0.05
7/6/24,1,3,3,8,52,0.1
7/6/24,1,3,3,9,40,0.05
7/6/24,1,3,3,10,40,0.05
7/6/24,1,3,3,11,39,0.05
7/6/24,1,3,3,12,28,0.1
7/6/24,1,4,4,1,40,0.2
7/6/24,1,4,4,2,36,0.2
7/6/24,1,4,4,3,50,0.15
7/6/24,1,4,4,4,56,0.4
7/6/24,1,4,4,5,73,0.5
7/6/24,1,4,4,6,70,0.5
7/6/24,1,4,4,7,74,0.5
7/6/24,1,4,4,8,70,0.8
7/6/24,1,4,4,9,68,0.7
7/6/24,1,4,4,10,44,0.5
7/6/24,1,4,4,11,32,0.3
7/6/24,1,4,4,12,17,0.5
7/6/24,1,4,4,1,24,0.1
7/6/24,1,4,4,2,58,0.2
7/6/24,1,4,4,3,72,0.6
7/6/24,1,4,4,4,78,0.3
7/6/24,1,4,4,5,80,0.4
7/6/24,1,4,4,6,88,0.15
7/6/24,1,4,4,7,86,0.5
7/6/24,1,4,4,8,72,0.8
7/6/24,1,4,4,9,65,0.2
7/6/24,1,4,4,10,45,0.2
7/6/24,1,4,4,11,32,0.5
