"Experiment","Deployment","group","Site","N","P","CHLA"
1,1,1,1,0,0,2.86441867864323
2,1,1,1,0,0,2.76720286072634
3,1,1,1,0,0,3.2939483925706
4,1,1,1,0,0,3.60406272479112
5,1,1,1,0,0,1.54368210155486
6,1,1,1,1,0,3.22130858402346
7,1,1,1,1,0,5.3442013113968
8,1,1,1,1,0,3.25159255860708
9,1,1,1,1,0,3.18274768522788
10,1,1,1,1,0,2.40899360440452
11,1,1,1,0,1,1.15084982570043
12,1,1,1,0,1,1.77675533043141
13,1,1,1,0,1,2.02181972444067
14,1,1,1,0,1,2.59087152092517
15,1,1,1,0,1,2.73497473117288
16,1,1,1,1,1,126.857345827877
17,1,1,1,1,1,99.7095272239335
18,1,1,1,1,1,100.148455512109
19,1,1,1,1,1,138.208935850379
20,1,1,1,1,1,73.8663276739768
21,1,2,2,0,0,11.0040635317336
22,1,2,2,0,0,15.29094771935
23,1,2,2,0,0,5.52475987697586
24,1,2,2,0,0,9.6411636341
25,1,2,2,0,0,16.4955306914805
26,1,2,2,1,0,21.9280443633916
27,1,2,2,1,0,51.8263309939687
28,1,2,2,1,0,62.5439772119446
29,1,2,2,1,0,19.1621481730822
30,1,2,2,1,0,63.9916573676153
31,1,2,2,0,1,8.3999310640574
32,1,2,2,0,1,7.70900674603907
33,1,2,2,0,1,12.1317172196912
34,1,2,2,0,1,7.00784290443957
35,1,2,2,0,1,1.6491437187598
36,1,2,2,1,1,135.708181935555
37,1,2,2,1,1,116.263804480145
38,1,2,2,1,1,90.0960739943191
39,1,2,2,1,1,72.684927582677
40,1,2,2,1,1,104.868027440655
41,1,3,3,0,0,17.0934191535865
42,1,3,3,0,0,15.8250358513013
43,1,3,3,0,0,4.40652320766549
44,1,3,3,0,0,13.1945936007156
45,1,3,3,0,0,17.2384071186159
46,1,3,3,1,0,12.6952720087795
47,1,3,3,1,0,4.37215840972389
48,1,3,3,1,0,11.3277783029308
49,1,3,3,1,0,10.4958528920818
50,1,3,3,1,0,6.63012235553424
51,1,3,3,0,1,7.08051383791062
52,1,3,3,0,1,27.1491489062471
53,1,3,3,0,1,2.1778334055739
54,1,3,3,0,1,5.99521425475404
55,1,3,3,0,1,9.05192444251803
56,1,3,3,1,1,140.122705401442
57,1,3,3,1,1,138.761004389767
58,1,3,3,1,1,143.066734718815
59,1,3,3,1,1,132.498144032315
60,1,3,3,1,1,127.682288304406
61,1,4,4,0,0,5.03400628492908
62,1,4,4,0,0,4.31080426803401
63,1,4,4,0,0,3.3564109273844
64,1,4,4,0,0,1.22160772912555
65,1,4,4,0,0,3.09935536824243
66,1,4,4,1,0,4.07586757843481
67,1,4,4,1,0,1.94664208181936
68,1,4,4,1,0,3.6388967021414
69,1,4,4,1,0,19.6332002646771
70,1,4,4,1,0,3.53893209233266
71,1,4,4,0,1,7.51382004260656
72,1,4,4,0,1,7.20362501613885
73,1,4,4,0,1,4.52749771750558
74,1,4,4,0,1,7.81762004998432
75,1,4,4,0,1,4.91658462751535
76,1,4,4,1,1,82.5931355709464
77,1,4,4,1,1,28.032860426619
78,1,4,4,1,1,81.5274965647306
79,1,4,4,1,1,49.413980508881
80,1,4,4,1,1,25.4856865697106
